up,down
05:50-06:22,06:30-07:05
05:58-06:29,06:38-07:13
06:06-06:37,06:46-07:19
06:14-06:47,06:54-07:29
06:22-06:55,07:02-07:41
06:30-07:00,07:10-07:49
06:39-07:10,07:18-08:00
06:48-07:25,07:26-08:07
06:57-07:33,07:34-08:20
07:06-07:43,07:43-08:29
07:15-07:52,07:52-08:32
07:24-08:02,08:02-08:45
07:33-08:13,08:12-08:52
07:42-08:21,08:22-09:03
07:51-08:32,08:33-09:14
08:00-08:37,08:42-09:21
08:10-08:46,08:50-09:27
08:20-08:58,08:58-09:38
08:29-09:07,09:06-09:46
08:37-09:13,09:15-09:51
08:46-09:22,09:24-10:02
08:54-09:33,09:32-10:07
09:03-09:40,09:40-10:18
09:13-09:52,09:49-10:26
09:23-09:58,09:58-10:35
09:34-10:12,10:07-10:41
09:45-10:20,10:16-10:52
09:55-10:28,10:25-11:01
10:04-10:37,10:34-11:11
10:13-10:46,10:43-11:09
10:21-10:58,10:51-11:27
10:31-11:05,11:00-11:33
10:40-11:18,11:10-11:43
10:51-11:27,11:20-11:54
11:02-11:37,11:30-12:05
11:13-11:48,11:40-12:15
11:26-11:58,11:50-12:26
11:36-12:10,12:00-12:34
11:46-12:20,12:12-12:43
11:59-12:32,12:23-12:56
12:10-12:43,12:36-13:11
12:21-12:56,12:48-13:20
12:33-13:08,13:00-13:33
12:44-13:13,13:11-13:47
12:55-13:29,13:25-14:03
13:03-13:38,13:35-14:11
13:12-13:44,13:45-14:19
13:22-13:54,13:56-14:31
13:32-14:09,14:06-14:41
13:42-14:17,14:16-14:51
13:52-14:27,14:26-15:01
14:02-14:37,14:36-15:13
14:13-14:48,14:46-15:16
14:22-14:56,14:56-15:26
14:32-15:08,15:06-15:41
14:42-15:14,15:16-15:52
14:52-15:23,15:26-15:53
15:02-15:35,15:36-16:11
15:12-15:50,15:46-16:20
15:23-15:56,15:56-16:34
15:32-16:08,16:06-16:40
15:41-16:21,16:16-16:56
15:52-16:29,16:26-17:04
16:02-16:40,16:36-17:13
16:11-16:48,16:47-17:26
16:20-16:57,16:59-17:40
16:29-17:06,17:10-17:51
16:38-17:18,17:20-18:05
16:49-17:30,17:30-18:16
17:00-17:39,17:43-18:23
17:14-17:52,17:56-18:36
17:29-18:09,18:11-18:52
17:45-18:21,18:26-18:52
18:00-18:35,18:40-19:16
16:34-17:01,16:28-16:55
16:43-17:11,16:37-17:04
16:52-17:18,16:46-17:13
17:01-17:27,16:55-17:22
17:10-17:36,17:04-17:31
17:19-17:48,17:13-17:41
17:28-17:55,17:22-17:49
17:37-18:07,17:31-18:00
17:46-18:14,17:40-18:07
17:55-18:21,17:49-18:16
18:04-18:30,17:58-18:24
18:13-18:39,18:07-18:32
18:22-18:51,18:16-18:42
18:31-18:55,18:25-18:51
18:39-19:05,18:34-18:58
18:47-19:13,18:43-19:09
18:55-19:18,18:52-19:18
19:03-19:28,19:01-19:24
19:11-19:35,19:10-19:33
19:19-19:42,19:19-19:43
19:27-19:53,19:28-19:47
19:35-19:59,19:37-20:01
19:43-20:07,19:46-20:08
19:51-20:14,19:55-20:17
19:59-20:23,20:04-20:28
20:07-20:31,20:13-20:37
20:16-20:40,20:22-20:43
20:25-20:49,20:31-20:53
20:34-20:59,20:40-21:03
20:43-21:10,20:49-21:12
20:52-21:18,20:58-21:21
21:01-21:23,21:07-21:31
21:10-21:32,21:16-21:38
21:19-21:41,21:25-21:45
21:28-21:48,21:34-21:54
21:38-21:58,21:43-22:02
