up,down
18:39-19:05 0,18:40-19:16
18:47-19:13,18:43-19:09
18:47-19:13 0,18:43-19:09 0
18:55-19:18,18:52-19:18
18:55-19:18 0,18:52-19:18 0
19:03-19:28,19:01-19:24
19:03-19:28 0,19:01-19:24 0
19:11-19:35,19:10-19:33
19:11-19:35 0,19:10-19:33 0
19:19-19:42,19:19-19:43
19:19-19:42 0,19:19-19:43 0
19:27-19:53,19:28-19:47
19:27-19:53 0,19:28-19:47 0
19:35-19:59,19:37-20:01
19:35-19:59 0,19:37-20:01 0
19:43-20:07,19:46-20:08
19:43-20:07 0,19:46-20:08 0
19:51-20:14,19:55-20:17
19:51-20:14 0,19:55-20:17 0
19:59-20:23,20:04-20:28
19:59-20:23 0,20:04-20:28 0
20:07-20:31,20:13-20:37
20:07-20:31 0,20:13-20:37 0
20:16-20:40,20:22-20:43
20:16-20:40 0,20:22-20:43 0
20:25-20:49,20:31-20:53
20:25-20:49 0,20:31-20:53 0
20:34-20:59,20:40-21:03
20:34-20:59 0,20:40-21:03 0
20:43-21:10,20:49-21:12
20:43-21:10 0,20:49-21:12 0
20:52-21:18,20:58-21:21
20:52-21:18 0,20:58-21:21 0
21:01-21:23,21:07-21:31
21:01-21:23 0,21:07-21:31 0
21:10-21:32,21:16-21:38
21:10-21:32 0,21:16-21:38 0
21:19-21:41,21:25-21:45
21:19-21:41 0,21:25-21:45 0
21:28-21:48,21:34-21:54
21:28-21:48 0,21:34-21:54 0
21:38-21:58,21:43-22:02
21:38-21:58 0,21:43-22:02 0
