up,down
11:37-12:01 0,11:53-12:26
11:39-12:12,11:58-12:22 0
11:46-12:10 0,12:00-12:34
11:46-12:20,12:06-12:39
11:51-12:24,12:07-12:31 0
11:55-12:18 0,12:12-12:43
11:59-12:32,12:16-12:42 0
12:04-12:27 0,12:18-12:54
12:04-12:37,12:23-12:56
12:10-12:43,12:25-12:52 0
12:13-12:37 0,12:29-13:02
12:15-12:48,12:34-12:59 0
12:21-12:56,12:36-13:11
12:22-12:46 0,12:41-13:14
12:27-13:00,12:43-13:06 0
12:31-12:55 0,12:48-13:20
12:33-13:08,12:52-13:19 0
12:39-13:12,12:53-13:26
12:40-13:03 0,13:00-13:33
12:44-13:13,13:01-13:26 0
12:49-13:14 0,13:05-13:38
12:51-13:24,13:10-13:33 0
12:55-13:29,13:11-13:47
12:58-13:23 0,13:18-13:51
13:03-13:36,13:19-13:44 0
13:03-13:38,13:25-14:03
13:07-13:32 0,13:28-13:55 0
13:12-13:44,13:30-14:03
13:15-13:47,13:35-14:11
13:16-13:40 0,13:37-14:02 0
13:22-13:54,13:40-14:13
13:24-13:57,13:45-14:19
13:25-13:51 0,13:46-14:11 0
13:31-14:04,13:51-14:24
13:32-14:09,13:55-14:20 0
13:34-14:00 0,13:56-14:31
13:39-14:12,14:01-14:34
13:42-14:17,14:04-14:28 0
13:43-14:08 0,14:06-14:41
13:50-14:23,14:11-14:44
13:52-14:17 0,14:13-14:39 0
13:52-14:27,14:16-14:51
14:00-14:33,14:19-14:52
14:01-14:27 0,14:22-14:47 0
14:02-14:37,14:26-15:01
14:09-14:42,14:31-14:59 0
14:10-14:34 0,14:31-15:04
14:13-14:48,14:36-15:13
14:17-14:50,14:40-15:05 0
14:19-14:44 0,14:41-15:14
14:22-14:56,14:46-15:16
14:25-14:58,14:49-15:13 0
14:28-14:55 0,14:49-15:22
14:32-15:08,14:56-15:26
14:34-15:07,14:58-15:22 0
14:37-15:02 0,14:59-15:32
14:42-15:14,15:06-15:41
14:44-15:17,15:07-15:33 0
14:46-15:14 0,15:09-15:42
14:52-15:23,15:16-15:41 0
14:54-15:27,15:16-15:52
14:55-15:20 0,15:19-15:52
15:02-15:35,15:25-15:51 0
15:04-15:31 0,15:26-15:53
15:04-15:39,15:29-16:02
15:12-15:50,15:34-16:00 0
15:13-15:41 0,15:36-16:11
15:14-15:47,15:39-16:12
15:22-15:47 0,15:43-16:10 0
15:23-15:56,15:46-16:20
15:24-15:57,15:49-16:22
15:31-15:56 0,15:52-16:17 0
15:32-16:08,15:56-16:34
15:33-16:07,15:59-16:37
15:40-16:06 0,16:01-16:25 0
15:41-16:21,16:06-16:40
15:42-16:20,16:09-16:47
15:49-16:16 0,16:10-16:38 0
15:52-16:29,16:16-16:56
15:53-16:31,16:19-16:45 0
15:58-16:25 0,16:19-16:57
16:02-16:40,16:26-17:04
16:04-16:42,16:28-16:55
16:07-16:34 0,16:28-16:55 0
16:11-16:48,16:30-17:08
16:12-16:50,16:36-17:13
16:16-16:43 0,16:37-17:04
16:20-16:57,16:37-17:04 0
16:21-16:59,16:39-17:17
16:25-16:54 0,16:46-17:13
16:28-17:06,16:46-17:13 0
16:29-17:06,16:47-17:26
16:34-17:01,16:50-17:30
16:34-17:01 0,16:55-17:22
16:36-17:14,16:55-17:22 0
16:38-17:18,16:57-17:35
16:43-17:11,16:59-17:40
16:43-17:11 0,17:04-17:31
16:47-17:25,17:04-17:31 0
16:49-17:30,17:04-17:42
16:52-17:18,17:10-17:51
16:52-17:18 0,17:11-17:49
16:58-17:36,17:13-17:41
17:00-17:39,17:13-17:41 0
17:01-17:27,17:20-18:05
17:01-17:27 0,17:21-18:00
17:10-17:36,17:22-17:49
17:10-17:36 0,17:22-17:49 0
17:12-17:50,17:30-18:16
17:14-17:52,17:31-18:00
17:19-17:48,17:31-18:00 0
17:19-17:48 0,17:31-18:09
17:22-18:00,17:40-18:07
17:28-17:55,17:40-18:07 0
17:28-17:55 0,17:43-18:23
17:29-18:09,17:44-18:22
17:34-18:12,17:49-18:16
17:37-18:07,17:49-18:16 0
17:37-18:07 0,17:56-18:36
17:45-18:21,17:58-18:24
17:46-18:14,17:58-18:24 0
17:46-18:14 0,17:58-18:36
17:48-18:26,18:07-18:32
17:55-18:21,18:07-18:32 0
17:55-18:21 0,18:10-18:45
18:00-18:35,18:11-18:52
18:00-18:36,18:16-18:42
18:04-18:30,18:16-18:42 0
18:04-18:30 0,18:20-18:58
18:10-18:41,18:25-18:51
18:13-18:39,18:25-18:51 0
18:13-18:39 0,18:26-18:52
18:22-18:51,18:30-18:58
18:22-18:51 0,18:34-18:58
18:30-19:01,18:34-18:58 0
18:31-18:55,18:40-19:08
18:31-18:55 0,18:40-19:16
18:39-19:05,18:43-19:09
18:39-19:05 0,18:43-19:09 0
18:47-19:13,18:50-19:19
18:47-19:13 0,18:52-19:18
18:50-19:21,18:52-19:18 0
18:55-19:18,19:01-19:24
18:55-19:18 0,19:01-19:24 0
19:03-19:28,19:10-19:33
19:03-19:28 0,19:10-19:33 0
19:10-19:41,19:10-19:39
19:11-19:35,19:19-19:43
19:11-19:35 0,19:19-19:43 0
19:19-19:42,19:28-19:47
19:19-19:42 0,19:28-19:47 0
19:27-19:53,19:30-19:59
19:27-19:53 0,19:37-20:01
19:30-20:01,19:37-20:01 0
19:35-19:59,19:46-20:08
19:35-19:59 0,19:46-20:08 0
19:43-20:07,19:50-20:19
19:43-20:07 0,19:55-20:17
19:50-20:21,19:55-20:17 0
19:51-20:14,20:04-20:28
19:51-20:14 0,20:04-20:28 0
19:59-20:23,20:10-20:39
19:59-20:23 0,20:13-20:37
20:07-20:31,20:13-20:37 0
20:07-20:31 0,20:22-20:43
20:10-20:41,20:22-20:43 0
20:16-20:40,20:30-20:59
20:16-20:40 0,20:31-20:53
20:25-20:49,20:31-20:53 0
20:25-20:49 0,20:40-21:03
20:30-21:01,20:40-21:03 0
20:34-20:59,20:49-21:12
20:34-20:59 0,20:49-21:12 0
20:43-21:10,20:50-21:19
20:43-21:10 0,20:58-21:21
20:50-21:21,20:58-21:21 0
20:52-21:18,21:07-21:31
20:52-21:18 0,21:07-21:31 0
21:01-21:23,21:10-21:39
21:01-21:23 0,21:16-21:38
21:10-21:32,21:16-21:38 0
21:10-21:32 0,21:25-21:45
21:10-21:41,21:25-21:45 0
21:19-21:41,21:30-21:59
21:19-21:41 0,21:34-21:54
21:28-21:48,21:34-21:54 0
21:28-21:48 0,21:43-22:02
21:30-21:56,21:43-22:02 0
21:38-21:58,21:45-22:14
21:38-21:58 0,21:52-22:11 0
21:48-22:08 0,22:00-22:19 0
22:00-22:19 0,22:00-22:29
