up,down
05:40-06:01 0,06:00-06:21 0
05:46-06:05 0,06:09-06:30 0
05:50-06:18,06:18-06:40 0
05:50-06:22,06:27-06:52 0
05:52-06:11 0,06:30-07:03
05:58-06:19 0,06:30-07:05
05:58-06:29,06:36-06:59 0
06:03-06:36,06:38-07:13
06:04-06:29 0,06:41-07:14
06:06-06:37,06:45-07:08 0
06:13-06:35 0,06:46-07:19
06:14-06:47,06:54-07:20 0
06:15-06:48,06:54-07:29
06:22-06:44 0,06:54-07:32
06:22-06:55,07:02-07:41
06:27-07:00,07:03-07:28 0
06:30-07:00,07:06-07:44
06:31-06:51 0,07:10-07:49
06:35-07:08,07:11-07:33 0
06:39-07:10,07:15-07:53
06:40-07:03 0,07:18-08:00
06:43-07:16,07:19-07:47 0
06:48-07:25,07:26-08:04
06:49-07:12 0,07:26-08:07
06:51-07:24,07:27-07:54 0
06:57-07:33,07:34-08:20
06:58-07:23 0,07:35-08:03 0
07:01-07:39,07:36-08:14
07:06-07:43,07:43-08:29
07:07-07:33 0,07:44-08:13 0
07:11-07:49,07:45-08:23
07:15-07:52,07:52-08:32
07:16-07:42 0,07:53-08:17 0
07:21-07:59,07:55-08:33
07:24-08:02,08:02-08:29 0
07:25-07:49 0,08:02-08:45
07:30-08:08,08:05-08:43
07:33-08:13,08:09-08:36 0
07:34-08:01 0,08:12-08:52
07:37-08:15,08:13-08:51
07:42-08:21,08:16-08:44 0
07:43-08:08 0,08:21-08:59
07:46-08:24,08:22-09:03
07:51-08:32,08:23-08:52 0
07:52-08:18 0,08:30-08:56 0
07:55-08:33,08:30-09:08
08:00-08:37,08:33-09:14
08:01-08:27 0,08:37-09:06 0
08:02-08:40,08:40-09:14
08:09-08:47,08:42-09:21
08:10-08:37 0,08:44-09:12 0
08:10-08:46,08:47-09:25
08:17-08:56,08:50-09:27
08:19-08:44 0,08:51-09:18 0
08:20-08:58,08:54-09:34
08:25-09:03,08:58-09:26 0
08:28-08:52 0,08:58-09:38
08:29-09:07,09:01-09:35
08:33-09:06,09:05-09:32 0
08:37-09:03 0,09:06-09:46
08:37-09:13,09:08-09:43
08:39-09:12,09:12-09:39 0
08:45-09:19,09:15-09:51
08:46-09:12 0,09:16-09:49
08:46-09:22,09:19-09:46 0
08:53-09:27,09:22-09:55
08:54-09:33,09:24-10:02
08:55-09:21 0,09:26-09:53 0
09:03-09:37,09:31-10:04
09:03-09:40,09:32-10:07
09:04-09:29 0,09:33-10:00 0
09:13-09:39 0,09:39-10:12
09:13-09:52,09:40-10:04 0
09:14-09:47,09:40-10:18
09:22-09:49 0,09:47-10:12 0
09:23-09:58,09:49-10:22
09:24-09:57,09:49-10:26
09:31-09:57 0,09:54-10:21 0
09:34-10:12,09:58-10:35
09:35-10:08,09:59-10:32
09:40-10:08 0,10:01-10:27 0
09:44-10:17,10:07-10:41
09:45-10:20,10:09-10:42
09:49-10:14 0,10:10-10:37 0
09:53-10:26,10:16-10:52
09:55-10:28,10:19-10:44 0
09:58-10:24 0,10:20-10:53
10:03-10:36,10:25-11:01
10:04-10:37,10:27-11:00
10:07-10:33 0,10:28-10:54 0
10:13-10:46,10:34-11:07
10:13-10:46,10:34-11:11
10:16-10:43 0,10:37-11:02 0
10:21-10:58,10:41-11:14
10:24-10:57,10:43-11:09
10:25-10:49 0,10:46-11:11 0
10:31-11:05,10:51-11:24
10:33-11:06,10:51-11:27
10:34-11:01 0,10:55-11:18 0
10:40-11:18,11:00-11:33
10:43-11:07 0,11:03-11:36
10:43-11:16,11:04-11:30 0
10:51-11:27,11:10-11:43
10:52-11:17 0,11:13-11:38 0
10:53-11:26,11:15-11:48
11:01-11:26 0,11:20-11:54
11:02-11:37,11:22-11:47 0
11:03-11:36,11:25-11:59
11:10-11:37 0,11:30-12:05
11:13-11:48,11:31-11:56 0
11:15-11:48,11:33-12:11
11:19-11:43 0,11:40-12:08 0
11:26-11:58,11:40-12:15
11:27-12:00,11:41-12:14
11:28-11:55 0,11:49-12:15 0
11:36-12:10,11:50-12:26
