up,down
05:50-06:18,06:30-07:03
06:03-06:36,06:41-07:14
06:15-06:48,06:54-07:32
06:27-07:00,07:06-07:44
06:35-07:08,07:15-07:53
06:43-07:16,07:26-08:04
06:51-07:24,07:36-08:14
07:01-07:39,07:45-08:23
07:11-07:49,07:55-08:33
07:21-07:59,08:05-08:43
07:30-08:08,08:13-08:51
07:37-08:15,08:21-08:59
07:46-08:24,08:30-09:08
07:55-08:33,08:40-09:14
08:02-08:40,08:47-09:25
08:09-08:47,08:54-09:34
08:17-08:56,09:01-09:35
08:25-09:03,09:08-09:43
08:33-09:06,09:16-09:49
08:39-09:12,09:22-09:55
08:45-09:19,09:31-10:04
08:53-09:27,09:39-10:12
09:03-09:37,09:49-10:22
09:14-09:47,09:59-10:32
09:24-09:57,10:09-10:42
09:35-10:08,10:20-10:53
09:44-10:17,10:27-11:00
09:53-10:26,10:34-11:07
10:03-10:36,10:41-11:14
10:13-10:46,10:51-11:24
10:24-10:57,11:03-11:36
10:33-11:06,11:15-11:48
10:43-11:16,11:25-11:59
10:53-11:26,11:33-12:11
11:03-11:36,11:41-12:14
11:15-11:48,11:53-12:26
11:27-12:00,12:06-12:39
11:39-12:12,12:18-12:54
11:51-12:24,12:29-13:02
12:04-12:37,12:41-13:14
12:15-12:48,12:53-13:26
12:27-13:00,13:05-13:38
12:39-13:12,13:18-13:51
12:51-13:24,13:30-14:03
13:03-13:36,13:40-14:13
13:15-13:47,13:51-14:24
13:24-13:57,14:01-14:34
13:31-14:04,14:11-14:44
13:39-14:12,14:19-14:52
13:50-14:23,14:31-15:04
14:00-14:33,14:41-15:14
14:09-14:42,14:49-15:22
14:17-14:50,14:59-15:32
14:25-14:58,15:09-15:42
14:34-15:07,15:19-15:52
14:44-15:17,15:29-16:02
14:54-15:27,15:39-16:12
15:04-15:39,15:49-16:22
15:14-15:47,15:59-16:37
15:24-15:57,16:09-16:47
15:33-16:07,16:19-16:57
15:42-16:20,16:30-17:08
15:53-16:31,16:39-17:17
16:04-16:42,16:50-17:30
16:12-16:50,16:57-17:35
16:21-16:59,17:04-17:42
16:28-17:06,17:11-17:49
16:36-17:14,17:21-18:00
16:47-17:25,17:31-18:09
16:58-17:36,17:44-18:22
17:12-17:50,17:58-18:36
17:22-18:00,18:10-18:45
17:34-18:12,18:20-18:58
17:48-18:26,18:30-18:58
18:00-18:36,18:40-19:08
18:10-18:41,18:50-19:19
18:30-19:01,19:10-19:39
18:50-19:21,19:30-19:59
19:10-19:41,19:50-20:19
19:30-20:01,20:10-20:39
19:50-20:21,20:30-20:59
20:10-20:41,20:50-21:19
20:30-21:01,21:10-21:39
20:50-21:21,21:30-21:59
21:10-21:41,21:45-22:14
21:30-21:56,22:00-22:29
