up,down
14:17-14:50,14:31-15:04
14:19-14:44 0,14:40-15:05 0
14:25-14:58,14:41-15:14
14:28-14:55 0,14:49-15:13 0
14:34-15:07,14:49-15:22
14:37-15:02 0,14:58-15:22 0
14:44-15:17,14:59-15:32
14:46-15:14 0,15:07-15:33 0
14:54-15:27,15:09-15:42
14:55-15:20 0,15:16-15:41 0
15:04-15:31 0,15:19-15:52
15:04-15:39,15:25-15:51 0
15:13-15:41 0,15:29-16:02
15:14-15:47,15:34-16:00 0
15:22-15:47 0,15:39-16:12
15:24-15:57,15:43-16:10 0
15:31-15:56 0,15:49-16:22
15:33-16:07,15:52-16:17 0
15:40-16:06 0,15:59-16:37
15:42-16:20,16:01-16:25 0
15:49-16:16 0,16:09-16:47
15:53-16:31,16:10-16:38 0
15:58-16:25 0,16:19-16:45 0
16:04-16:42,16:19-16:57
16:07-16:34 0,16:28-16:55 0
16:12-16:50,16:30-17:08
16:16-16:43 0,16:37-17:04 0
16:21-16:59,16:39-17:17
16:25-16:54 0,16:46-17:13 0
16:28-17:06,16:50-17:30
16:34-17:01 0,16:55-17:22 0
16:36-17:14,16:57-17:35
16:43-17:11 0,17:04-17:31 0
16:47-17:25,17:04-17:42
16:52-17:18 0,17:11-17:49
16:58-17:36,17:13-17:41 0
17:01-17:27 0,17:21-18:00
17:10-17:36 0,17:22-17:49 0
17:12-17:50,17:31-18:00 0
17:19-17:48 0,17:31-18:09
17:22-18:00,17:40-18:07 0
17:28-17:55 0,17:44-18:22
17:34-18:12,17:49-18:16 0
17:37-18:07 0,17:58-18:24 0
17:46-18:14 0,17:58-18:36
17:48-18:26,18:07-18:32 0
17:55-18:21 0,18:10-18:45
18:00-18:36,18:16-18:42 0
18:04-18:30 0,18:20-18:58
18:10-18:41,18:25-18:51 0
18:13-18:39 0,18:30-18:58
18:22-18:51 0,18:34-18:58 0
18:30-19:01,18:40-19:08
18:31-18:55 0,18:43-19:09 0
18:39-19:05 0,18:50-19:19
18:47-19:13 0,18:52-19:18 0
18:50-19:21,19:01-19:24 0
18:55-19:18 0,19:10-19:33 0
19:03-19:28 0,19:10-19:39
19:10-19:41,19:19-19:43 0
19:11-19:35 0,19:28-19:47 0
19:19-19:42 0,19:30-19:59
19:27-19:53 0,19:37-20:01 0
19:30-20:01,19:46-20:08 0
19:35-19:59 0,19:50-20:19
19:43-20:07 0,19:55-20:17 0
19:50-20:21,20:04-20:28 0
19:51-20:14 0,20:10-20:39
19:59-20:23 0,20:13-20:37 0
20:07-20:31 0,20:22-20:43 0
20:10-20:41,20:30-20:59
20:16-20:40 0,20:31-20:53 0
20:25-20:49 0,20:40-21:03 0
20:30-21:01,20:49-21:12 0
20:34-20:59 0,20:50-21:19
20:43-21:10 0,20:58-21:21 0
20:50-21:21,21:07-21:31 0
20:52-21:18 0,21:10-21:39
21:01-21:23 0,21:16-21:38 0
21:10-21:32 0,21:25-21:45 0
21:10-21:41,21:30-21:59
21:19-21:41 0,21:34-21:54 0
21:28-21:48 0,21:43-22:02 0
21:30-21:56,21:45-22:14
21:38-21:58 0,21:52-22:11 0
21:48-22:08 0,22:00-22:19 0
22:00-22:19 0,22:00-22:29
