up,down
05:40-06:01 0,06:00-06:21 0
05:46-06:05 0,06:09-06:30 0
05:50-06:18,06:18-06:40 0
05:52-06:11 0,06:27-06:52 0
05:58-06:19 0,06:30-07:03
06:03-06:36,06:36-06:59 0
06:04-06:29 0,06:41-07:14
06:13-06:35 0,06:45-07:08 0
06:15-06:48,06:54-07:20 0
06:22-06:44 0,06:54-07:32
06:27-07:00,07:03-07:28 0
06:31-06:51 0,07:06-07:44
06:35-07:08,07:11-07:33 0
06:40-07:03 0,07:15-07:53
06:43-07:16,07:19-07:47 0
06:49-07:12 0,07:26-08:04
06:51-07:24,07:27-07:54 0
06:58-07:23 0,07:35-08:03 0
07:01-07:39,07:36-08:14
07:07-07:33 0,07:44-08:13 0
07:11-07:49,07:45-08:23
07:16-07:42 0,07:53-08:17 0
07:21-07:59,07:55-08:33
07:25-07:49 0,08:02-08:29 0
07:30-08:08,08:05-08:43
07:34-08:01 0,08:09-08:36 0
07:37-08:15,08:13-08:51
07:43-08:08 0,08:16-08:44 0
07:46-08:24,08:21-08:59
07:52-08:18 0,08:23-08:52 0
07:55-08:33,08:30-08:56 0
08:01-08:27 0,08:30-09:08
08:02-08:40,08:37-09:06 0
08:09-08:47,08:40-09:14
08:10-08:37 0,08:44-09:12 0
08:17-08:56,08:47-09:25
08:19-08:44 0,08:51-09:18 0
08:25-09:03,08:54-09:34
08:28-08:52 0,08:58-09:26 0
08:33-09:06,09:01-09:35
08:37-09:03 0,09:05-09:32 0
08:39-09:12,09:08-09:43
08:45-09:19,09:12-09:39 0
08:46-09:12 0,09:16-09:49
08:53-09:27,09:19-09:46 0
08:55-09:21 0,09:22-09:55
09:03-09:37,09:26-09:53 0
09:04-09:29 0,09:31-10:04
09:13-09:39 0,09:33-10:00 0
09:14-09:47,09:39-10:12
09:22-09:49 0,09:40-10:04 0
09:24-09:57,09:47-10:12 0
09:31-09:57 0,09:49-10:22
09:35-10:08,09:54-10:21 0
09:40-10:08 0,09:59-10:32
09:44-10:17,10:01-10:27 0
09:49-10:14 0,10:09-10:42
09:53-10:26,10:10-10:37 0
09:58-10:24 0,10:19-10:44 0
10:03-10:36,10:20-10:53
10:07-10:33 0,10:27-11:00
10:13-10:46,10:28-10:54 0
10:16-10:43 0,10:34-11:07
10:24-10:57,10:37-11:02 0
10:25-10:49 0,10:41-11:14
10:33-11:06,10:46-11:11 0
10:34-11:01 0,10:51-11:24
10:43-11:07 0,10:55-11:18 0
10:43-11:16,11:03-11:36
10:52-11:17 0,11:04-11:30 0
10:53-11:26,11:13-11:38 0
11:01-11:26 0,11:15-11:48
11:03-11:36,11:22-11:47 0
11:10-11:37 0,11:25-11:59
11:15-11:48,11:31-11:56 0
11:19-11:43 0,11:33-12:11
11:27-12:00,11:40-12:08 0
11:28-11:55 0,11:41-12:14
11:37-12:01 0,11:49-12:15 0
11:39-12:12,11:53-12:26
11:46-12:10 0,11:58-12:22 0
11:51-12:24,12:06-12:39
11:55-12:18 0,12:07-12:31 0
12:04-12:27 0,12:16-12:42 0
12:04-12:37,12:18-12:54
12:13-12:37 0,12:25-12:52 0
12:15-12:48,12:29-13:02
12:22-12:46 0,12:34-12:59 0
12:27-13:00,12:41-13:14
12:31-12:55 0,12:43-13:06 0
12:39-13:12,12:52-13:19 0
12:40-13:03 0,12:53-13:26
12:49-13:14 0,13:01-13:26 0
12:51-13:24,13:05-13:38
12:58-13:23 0,13:10-13:33 0
13:03-13:36,13:18-13:51
13:07-13:32 0,13:19-13:44 0
13:15-13:47,13:28-13:55 0
13:16-13:40 0,13:30-14:03
13:24-13:57,13:37-14:02 0
13:25-13:51 0,13:40-14:13
13:31-14:04,13:46-14:11 0
13:34-14:00 0,13:51-14:24
13:39-14:12,13:55-14:20 0
13:43-14:08 0,14:01-14:34
13:50-14:23,14:04-14:28 0
13:52-14:17 0,14:11-14:44
14:00-14:33,14:13-14:39 0
14:01-14:27 0,14:19-14:52
14:09-14:42,14:22-14:47 0
14:10-14:34 0,14:31-14:59 0
