up,down
05:40-06:01 0,06:00-06:21 0
05:46-06:05 0,06:09-06:30 0
05:52-06:11 0,06:18-06:40 0
05:58-06:19 0,06:27-06:52 0
06:04-06:29 0,06:36-06:59 0
06:13-06:35 0,06:45-07:08 0
06:22-06:44 0,06:54-07:20 0
06:31-06:51 0,07:03-07:28 0
06:40-07:03 0,07:11-07:33 0
06:49-07:12 0,07:19-07:47 0
06:58-07:23 0,07:27-07:54 0
07:07-07:33 0,07:35-08:03 0
07:16-07:42 0,07:44-08:13 0
07:25-07:49 0,07:53-08:17 0
07:34-08:01 0,08:02-08:29 0
07:43-08:08 0,08:09-08:36 0
07:52-08:18 0,08:16-08:44 0
08:01-08:27 0,08:23-08:52 0
08:10-08:37 0,08:30-08:56 0
08:19-08:44 0,08:37-09:06 0
08:28-08:52 0,08:44-09:12 0
08:37-09:03 0,08:51-09:18 0
08:46-09:12 0,08:58-09:26 0
08:55-09:21 0,09:05-09:32 0
09:04-09:29 0,09:12-09:39 0
09:13-09:39 0,09:19-09:46 0
09:22-09:49 0,09:26-09:53 0
09:31-09:57 0,09:33-10:00 0
09:40-10:08 0,09:40-10:04 0
09:49-10:14 0,09:47-10:12 0
09:58-10:24 0,09:54-10:21 0
10:07-10:33 0,10:01-10:27 0
10:16-10:43 0,10:10-10:37 0
10:25-10:49 0,10:19-10:44 0
10:34-11:01 0,10:28-10:54 0
10:43-11:07 0,10:37-11:02 0
10:52-11:17 0,10:46-11:11 0
11:01-11:26 0,10:55-11:18 0
11:10-11:37 0,11:04-11:30 0
11:19-11:43 0,11:13-11:38 0
11:28-11:55 0,11:22-11:47 0
11:37-12:01 0,11:31-11:56 0
11:46-12:10 0,11:40-12:08 0
11:55-12:18 0,11:49-12:15 0
12:04-12:27 0,11:58-12:22 0
12:13-12:37 0,12:07-12:31 0
12:22-12:46 0,12:16-12:42 0
12:31-12:55 0,12:25-12:52 0
12:40-13:03 0,12:34-12:59 0
12:49-13:14 0,12:43-13:06 0
12:58-13:23 0,12:52-13:19 0
13:07-13:32 0,13:01-13:26 0
13:16-13:40 0,13:10-13:33 0
13:25-13:51 0,13:19-13:44 0
13:34-14:00 0,13:28-13:55 0
13:43-14:08 0,13:37-14:02 0
13:52-14:17 0,13:46-14:11 0
14:01-14:27 0,13:55-14:20 0
14:10-14:34 0,14:04-14:28 0
14:19-14:44 0,14:13-14:39 0
14:28-14:55 0,14:22-14:47 0
14:37-15:02 0,14:31-14:59 0
14:46-15:14 0,14:40-15:05 0
14:55-15:20 0,14:49-15:13 0
15:04-15:31 0,14:58-15:22 0
15:13-15:41 0,15:07-15:33 0
15:22-15:47 0,15:16-15:41 0
15:31-15:56 0,15:25-15:51 0
15:40-16:06 0,15:34-16:00 0
15:49-16:16 0,15:43-16:10 0
15:58-16:25 0,15:52-16:17 0
16:07-16:34 0,16:01-16:25 0
16:16-16:43 0,16:10-16:38 0
16:25-16:54 0,16:19-16:45 0
16:34-17:01 0,16:28-16:55 0
16:43-17:11 0,16:37-17:04 0
16:52-17:18 0,16:46-17:13 0
17:01-17:27 0,16:55-17:22 0
17:10-17:36 0,17:04-17:31 0
17:19-17:48 0,17:13-17:41 0
17:28-17:55 0,17:22-17:49 0
17:37-18:07 0,17:31-18:00 0
17:46-18:14 0,17:40-18:07 0
17:55-18:21 0,17:49-18:16 0
18:04-18:30 0,17:58-18:24 0
18:13-18:39 0,18:07-18:32 0
18:22-18:51 0,18:16-18:42 0
18:31-18:55 0,18:25-18:51 0
18:39-19:05 0,18:34-18:58 0
18:47-19:13 0,18:43-19:09 0
18:55-19:18 0,18:52-19:18 0
19:03-19:28 0,19:01-19:24 0
19:11-19:35 0,19:10-19:33 0
19:19-19:42 0,19:19-19:43 0
19:27-19:53 0,19:28-19:47 0
19:35-19:59 0,19:37-20:01 0
19:43-20:07 0,19:46-20:08 0
19:51-20:14 0,19:55-20:17 0
19:59-20:23 0,20:04-20:28 0
20:07-20:31 0,20:13-20:37 0
20:16-20:40 0,20:22-20:43 0
20:25-20:49 0,20:31-20:53 0
20:34-20:59 0,20:40-21:03 0
20:43-21:10 0,20:49-21:12 0
20:52-21:18 0,20:58-21:21 0
21:01-21:23 0,21:07-21:31 0
21:10-21:32 0,21:16-21:38 0
21:19-21:41 0,21:25-21:45 0
21:28-21:48 0,21:34-21:54 0
21:38-21:58 0,21:43-22:02 0
21:48-22:08 0,21:52-22:11 0
22:00-22:19 0,22:00-22:19 0
